Term,Abbreviation / Acronym / Definition,Abbreviation,Definition,Category,Tags,Source,Contact,Comments,Approval Status,Rating (0-5),Synonyms,ID,Top Filter
"Occupational Health & Safety","[""Abbreviation""]","OH&S",,"[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Upload","Karen Campbell",,"Approved",,,"1598","O"
"Odometry","[""Definition""]",,"The equipment used to measure a train's movement along the track; namely, speed measurement and distance measurement.","[""Digital Railway""]",,,,,"Approved",,,"623","O"
"Odometry Error","[""Definition""]",,"The confidence of the odometry system in its measurement of a train’s movement.","[""Digital Railway""]",,,,,"Approved",,,"624","O"
"Office of Rail and Road","[""Definition"",""Abbreviation""]","ORR","The independent safety and economic regulator for Britain’s railways and monitor of National Highways.","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety""]","H&S Import","Karen Campbell;Graeme Cox",,"Approved",,,"1460","O"
"Office of the Deputy Prime Minister","[""Abbreviation""]","ODPM",,"[""Gov""]",,,,,"Approved",,,"1224","O"
"Official Journal of the European Union","[""Definition""]","OJEU","The gazette of record for the European Union, published in 22 official languages (23 when Irish is required) of the member states, every working day since the Treaty of Nice entered into force on 1 February 2003.","[""Gov""]",,,,,"Approved",,,"626","O"
"OHS Manager","[""Abbreviation"",""Definition""]","OHS","Occupational Health and Safety Manager","[""Health, Wellbeing, Safety & Security""]","[""Health & Safety"",""Wellbeing""]","H&S Import","Karen Campbell;Claire Green",,"Approved",,,"1461","O"
"On or Near the Line","[""Definition""]",,"On the line itself, or within 3 metres (10 feet) of a line, unless there is a permanent fence or structure between the person concerned and the line (see Rule Book Handbook 1 for full definition).","[""Digital Railway""]",,,,,"Approved",,,"627","O"
"On Track Plant","[""Definition""]","OTP","Rail vehicles used only in possessions. Any of the following:
Road-Rail Vehicles (RRVs)
Rail-Mounted Maintenance Machines (RMMMs); these are brought to a site and placed on the railsTrailers and attachments with rail guidance wheels","[""Digital Railway""]",,,,,"Approved",,,"628","O"
"On Train Monitoring Recorder","[""Definition""]","OTMR","A data recorder fitted to rolling stock vehicles.","[""Digital Railway""]",,,,,"Approved",,,"629","O"
"Onboard (The)","[""Definition""]",,"The ‘Onboard’ refers to the ETCS functionality within the rail vehicle, and is different to on-board (‘on-board equipment’) or on board (‘equipment on board the train’), which refers to any functionality on the rail vehicle or train that excludes the ETCS Onboard solution.","[""Digital Railway""]",,,,,"Approved",,,"968","O"
"Ontology","[""Definition""]",,"A set of concepts and categories in a subject area or domain that shows their properties and the relations between them.","[""Industry""]",,,,,"Approved",,,"632","O"
"On-train Data / Monitoring Recorder","[""Definition""]","OTDR / OTMR","Device for recording data about the operation of train controls and performance: speeds, brake applications, door operation, etc.","[""Industry""]",,,,,"Approved",,,"631","O"
"Open Group (The)","[""Definition""]","TOG","The Open Group is a global consortium that seeks to ""enable the achievement of business objectives"" by developing ""open, vendor-neutral"" technology standards and certifications.","[""Enterprise Architecture""]",,"BIM & Digital Twin","Abel Maciel",,"Approved","5",,"1110","O"
"Open Point","[""Definition""]",,"An open point is a point in a TSI where Member States cannot reach an agreement, so it is left ‘open’ to allow Member States an opportunity to notify their own national technical rules.","[""Digital Railway""]",,,,,"Approved",,,"633","O"
"Open Services for Lifecycle Collaboration","[""Abbreviation""]","OSLC",,"[""Industry""]",,,,,"Approved",,,"634","O"
"Operating Cost","[""Definition""]",,"Ongoing cost of running the railway (e.g, railway maintenance and staff costs)","[""Industry""]",,,,,"Approved",,,"635","O"
"Operating Expenditure","[""Definition"",""Acronym""]","OpEx","The expences that a business incurs through its normal business operations.","[""Digital Railway""]",,,,,"Approved",,,"636","O"
"Operating Rule","[""Definition""]",,"A rule defining how, in a particular situation, operations contribute to satisfying one or more railway principles. Compliance with an Operating Rule must be achievable solely by people in particular roles following defined procedures (although it will typically depend upon equipment providing corresponding functions).","[""Digital Railway""]",,,,,"Approved",,,"637","O"
"Operation and Maintenance","[""Definition""]",,"The use of Information Models to support facility or entity operations and maintenance. The process requires accurate record modelling to have been completed, providing information models of suitable detail for the purpose of operation and maintenance management.","[""Enterprise Architecture""]","[""BIM Activities - Operations Related""]","BIM Exchange Information Requirements","Abel Maciel","The term and definition in this section will be supported by specific digital tools, platforms and processes which must be defined for the project.","Approved",,,"1361","O"
"Operation and Traffic Management","[""Definition""]","OPE","As used in the name of the NTSN Operation and Traffic Management (OPE)","[""Gov""]",,"NTSN",,,"Approved",,,"638","O"
"Operational Headway","[""Definition""]",,"The planned minimum headway between two trains, taking into account operational needs and performance, such as station stops and an ability to maintain the schedule. It is normally longer than the technical headway.","[""Digital Railway""]",,,,,"Approved",,,"639","O"
"Operational Performance","[""Definition""]",,"The total number of delay minutes accrued by train services due to specific incidents occurring on the UK rail network.","[""Digital Railway""]",,,,,"Approved",,,"640","O"
"Operational Readiness","[""Definition""]",,"The people and processes enabling changes required to ensure that the system(s) can be deployed successfully on the GB rail network and deliver the predicted benefits. (e.g. changes associated with maintenance and operations).","[""Digital Railway""]",,,,,"Approved",,,"641","O"
"Operational Research Computer Allocation of Tickets to Service","[""Definition"",""Acronym""]","ORCATS","Centralised legacy computer system used on passenger railways in Great Britain. Used for real time reservation and revenue sharing on inter-available tickets between TOCs.","[""Industry""]",,,,,"Approved",,,"642","O"
"Operational Rules","[""Definition""]",,"The complete set of documentation that governs the operation of the UK rail network, including the Rule Book, Railway Group Standards, Company Standards, procedures and instructions.","[""Digital Railway""]",,,,,"Approved",,,"643","O"
"Operational Scenario","[""Definition""]",,"An Operational Scenario is a description of the state of the railway and the operational arrangements at a point in time.","[""Digital Railway""]",,,,,"Approved",,,"644","O"
"Operational Stopping Location","[""Definition""]",,"A trackside position where trains are required to come to rest so that an operational need can be met; for example, to stop trains so that the whole train can be in the platform.","[""Digital Railway""]",,,,,"Approved",,,"645","O"
"Operational Support and Hazard Analysis","[""Abbreviation""]","OSHA",,"[""Digital Railway""]",,,,,"Approved",,,"646","O"
"Operational Technology","[""Definition""]","OT",,,"[""Cyber Security""]","Cyber Security Strategy",,,"Approved",,,"1738","O"
"Operational Telephones","[""Definition""]",,"Telecommunications systems that support voice communication between the signalling system operator and users of lineside fixed telephones and level crossing telephones.","[""Digital Railway""]",,,,,"Approved",,,"647","O"
"Operational Test Scenario","[""Abbreviation""]","OTS",,"[""Digital Railway""]",,,,,"Approved",,,"648","O"
"Operational Test Scenario (OTS)","[""Definition""]",,"A test sequence to check that the technical specifications of a system / element of a system fulfil the operational requirements of a system / system element.","[""Digital Railway""]",,,,,"Approved",,,"649","O"
"Operations","[""Abbreviation""]","OPS",,"[""Industry""]",,,,,"Approved",,,"650","O"
"Operations and Maintenance","[""Definition""]","O&M","The functions, duties and labour associated with the daily operations and normal repairs, replacement of parts and structural components, and other activities needed to preserve an asset so that it continues to provide acceptable services and achieves its expected life.","[""Digital Railway""]",,,,,"Approved",,,"651","O"
"Operators","[""Definition""]",,"The group of people who operate the systems on a day-to-day basis (e.g. drivers, signallers, guards, shunters) and the group of people who ensure that the systems are in an operational state (e.g. train preparers, maintainers and trackside workers).","[""Digital Railway""]",,,,,"Approved",,,"652","O"
"Opportunity for Improvement","[""Definition"",""Abbreviation""]","OFI","A process/activity which is currently conforming but could be improved.","[""EWR"",""Health, Wellbeing, Safety & Security""]","[""IMS"",""Health & Safety""]",,"Michelle Stroud;Karen Campbell",,"Approved",,,"1071","O"
"Optimism Bias","[""Definition""]",,"Uplift in estimated costs or reduction in estimated benefits of a transport scheme when it is being appraised, usually applied as a percentage. Reflects historic tendencies for costs to be underestimated and benefits to be overestimated.","[""Industry""]",,,,,"Approved",,,"653","O"
"Ordnance Survey","[""Definition""]","OS","A government owned company responsible for Great Britain’s mapping. They create, maintain and disseminate consistent, definitive and authoritative geospatial and cartographic data and products of Great Britain in the national interest.","[""Gov""]",,,,,"Approved",,,"654","O"
"Ordnance Survey of Great Britain","[""Definition""]","OSGB","The Ordnance Survey National Grid reference system - a system of geographic grid references used in Great Britain, distinct from latitude and longitude.","[""Industry""]",,,,,"Approved",,,"655","O"
"Organisation Rule","[""Definition""]",,"Rules placed on (parts of) organisations connected with the operation of the UK rail network. These rules are separate from operating rules and so are not directly concerned with either the operation of vehicles on a rail line, or work taking place on or near the line. Instead, Organisation Rules are to define supporting processes and systems, and to influence culture and behaviour, to ensure consistency both within and between organisations. Organisation Rules typically define management of competencies and training, and the sharing of data, etc. Compliance with them is achieved by organisation procedures, systems and, where relevant, cross-organisation agreements.","[""Digital Railway""]",,,,,"Approved",,,"656","O"
